participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC15,170,CE5,complex,Canny,1764.0,7.5,30.935000000000002,0.0,0.30968197034335265,-0.7385260507424793,-0.47850943338967455
HC16,171,CE5,complex,Canny,1764.0,7.0,24.85,0.5,1.3344375532264332,-0.7010197032676619,-0.43194747837974945
HC17,172,CE5,complex,Canny,1764.0,9.5,23.22,0.0,1.0707792467074184,-0.9654428602280677,-0.746458067571856
HC18,173,CE5,complex,Canny,1764.0,7.5,21.545,0.0,1.12495500269982,-1.5067740731075274,-0.5187042713839326
HC19,174,CE5,complex,Canny,1764.0,5.0,32.565,0.0,0.5900968443520823,-0.5300062868129086,-0.9099134046746854
HC20,175,CE5,complex,Canny,1764.0,6.0,35.835,1.0,0.40909774345744576,0.0733670219893806,0.08909231843508861
HC21,176,CE5,complex,Canny,1764.0,8.0,37.545,0.0,0.8391306193683652,-0.8557835468221731,-0.5495498901372736
HC22,177,CE5,complex,Canny,1764.0,8.5,15.565000000000001,0.0,1.0612868543584446,-0.7855885585858708,-0.499312714451762
HC23,178,CE5,complex,Canny,1764.0,9.0,28.835,0.0,1.2363400104268087,-1.026539878085175,-0.7847554707590663
HC24,179,CE5,complex,Canny,1764.0,6.0,24.13,0.0,1.1469822932651164,-1.1222707255818274,-0.5974246761348433
HC04,180,CE5,simple,Canny,1764.0,6.0,30.14,0.0,0.42008402520840293,-0.3990954810700318,-0.6344047384191239
HC05,181,CE5,simple,Canny,1764.0,7.0,24.48,0.0,0.5332326775322522,-0.5713621527224236,-0.5620224837470443
HC06,182,CE5,simple,Canny,1764.0,8.0,26.64,0.0,1.2023921363341337,-0.7103799953000091,-0.5175998872460718
HC07,183,CE5,simple,Canny,1764.0,6.5,16.6,0.0,1.1132740840898647,-1.2872819155131732,-0.6538704272846056
HC08,184,CE5,simple,Canny,1764.0,7.0,20.880000000000003,0.5,0.9982295648551707,-0.9299376860828501,-0.580640250010296
HC09,185,CE5,simple,Canny,1764.0,8.0,19.33,0.0,0.5823728944769692,-0.7710214155640022,-0.6412481766824645
HC11,186,CE5,simple,Canny,1764.0,7.0,19.125,1.0,0.9578080990151192,-1.049235455689798,-0.2846375212766555
HC12,187,CE5,simple,Canny,1764.0,7.5,36.405,0.5,0.893819357296686,-0.7975208305087996,-0.6305382891081347
HC13,188,CE5,simple,Canny,1764.0,8.0,14.805,0.0,1.0564428184106456,-0.8693259210421559,-0.8456017815031824
HC14,189,CE5,simple,Canny,1764.0,8.0,20.085,0.0,0.6856682503622988,-0.5793351226761709,-0.7988305528088171
HC15,190,CE5,simple,Canny,1764.0,8.0,26.8,0.0,1.0175264739853016,-0.9417616371955811,-0.47850943338967455
HC16,191,CE5,simple,Canny,1764.0,6.0,22.395,0.5,0.6344047384191239,-1.011687655480149,-0.43194747837974945
HC17,192,CE5,simple,Canny,1764.0,9.0,24.155,0.0,0.8539125638299665,-0.8748228000636058,-0.746458067571856
HC18,193,CE5,simple,Canny,1764.0,6.5,25.66,0.0,0.4049838009719352,-0.9476937666835673,-0.5187042713839326
HC19,194,CE5,simple,Canny,1764.0,5.5,31.495,0.5,0.9532333639533638,-0.7165162072699888,-0.5934217856574036
HC20,195,CE5,simple,Canny,1764.0,8.0,24.689999999999998,0.5,1.3119341428118088,-1.1063270592681769,-0.3860667132187173
HC21,196,CE5,simple,Canny,1764.0,8.0,38.985,0.0,0.8391306193683652,-0.7678131141865613,-0.5495498901372736
HC22,197,CE5,simple,Canny,1764.0,9.0,15.965,0.0,1.2818139929264332,-0.7404316807796057,-0.499312714451762
HC23,198,CE5,simple,Canny,1764.0,8.0,31.15,0.5,0.8015830836833157,-0.725200227710513,-0.47850943338967455
HC24,199,CE5,simple,Canny,1764.0,5.5,31.77,0.0,0.7724574628112009,-0.5561218140611928,-0.5974246761348433
HC04,200,CE6,complex,Canny,2500.0,8.5,24.615000000000002,0.0,1.4702940882294102,-1.3609286470076232,-0.6344047384191239
HC05,201,CE6,complex,Canny,2500.0,7.5,20.634999999999998,0.0,0.7769961872612818,-0.8961953440678031,-0.5620224837470443
HC06,202,CE6,complex,Canny,2500.0,7.5,21.83,0.0,0.9588696783424103,-1.19280527161405,-0.5175998872460718
HC07,203,CE6,complex,Canny,2500.0,7.0,14.875,0.0,1.3572793627944926,-1.5314841346908732,-0.6538704272846056
HC08,204,CE6,complex,Canny,2500.0,7.5,17.814999999999998,0.0,1.3053771232721463,-1.2430884388501582,-0.9845639021913715
HC09,205,CE6,complex,Canny,2500.0,8.5,18.095,0.0,0.7990697854451437,-0.9301958727707583,-0.6412481766824645
HC11,206,CE6,complex,Canny,2500.0,7.0,15.885,0.0,0.9578080990151192,-1.601078057251804,-0.935237569909011
